"Time","D01","D02","D03","D04"
1.333333373,11.05,10.73,10.68,10.78
1.666666746,10.98,10.72,10.72,10.66
2,11.07,10.69,10.68,10.55
2.333333492,11.03,10.71,10.72,10.62
2.666666746,11.08,10.75,10.72,10.6
3,11.28,10.84,10.71,10.56
3.333333492,11.26,10.85,10.72,10.61
3.666666746,11.4,10.93,10.76,10.61
4,11.45,10.96,10.85,10.63
4.333333492,11.54,11.06,10.84,10.73
4.666666985,11.72,11.1,10.89,10.71
5,11.85,11.12,10.94,10.75
5.333333492,12.05,11.39,10.98,10.74
5.666666985,12.19,11.54,10.97,10.82
6,12.2,11.64,11.03,10.98
6.333333492,12.55,11.59,11.07,10.99
6.666666985,13.02,11.79,11.07,11.1
7,13.88,12.32,11.11,11.31
7.333333492,15.63,13.3,11.15,11.53
7.666666985,18.49,14.95,11.24,11.88
8,23.33,17.98,11.19,12.35
8.333333969,30.68,22.77,11.22,13.07
8.666666985,40.4,29.79,11.32,13.92
9,52.88,39.16,11.37,15.09
9.333333969,68.03,51.21,11.36,16.6
9.666666985,85.33,65.37,11.51,18.18
10,104.65,81.77,11.5,19.95
10.33333397,125.7,100.07,11.58,21.92
10.66666698,148.04,119.82,11.66,24.05
11,170.95,140.52,11.82,25.42
11.33333397,194.95,162.31,11.99,28.61
11.66666698,219.15,185.35,12.19,31.59
12,242.99,208.13,12.55,36.06
12.33333397,267.4,230.74,12.9,43.3
12.66666698,290.57,253.73,13.21,55.09
13,313.51,275.39,13.8,70.37
13.33333397,335.44,297.13,14.33,89.33
13.66666698,356.97,319.23,14.95,112.05
14,377.2,338.93,15.53,137.24
14.33333397,397.12,358.03,16.15,164.88
14.66666698,416.29,378.31,16.99,194.36
15,433.58,395.91,17.58,224.39
15.33333397,450.48,414.08,19,255.44
15.66666698,466.15,430.53,21.5,285.11
16,481.81,445.77,26.19,315.47
16.33333397,495.86,459.64,34.57,344.32
16.66666794,509.08,474.69,48.3,372.27
17,521.67,487.17,67.51,398.9
17.33333397,533.55,499.58,91.73,423.88
17.66666794,545.27,511.49,120.61,447.72
18,555.34,523.49,153.06,469.76
18.33333397,565.66,533.12,188.16,490.66
18.66666794,574.33,542.98,224.47,510.54
19,583.64,552.91,261.35,528.69
19.33333397,592.35,562.7,298.31,545.54
19.66666794,600.99,569.25,334.02,560.24
20,607.31,577.93,368.42,574.51
20.33333397,613.99,585.69,400.57,587.73
20.66666794,621.29,593.84,431.52,600.1
21,628.52,600.76,458.99,612.54
21.33333397,634.14,607.7,485.99,622.88
21.66666794,640.01,612.87,509.87,632.85
22,645.46,619,531.42,642.08
22.33333397,650.8,624.08,552.18,650.89
22.66666794,655.66,630.06,570.91,659.75
23,660.08,634.9,588.1,666.74
23.33333397,665.68,640.11,604.71,673.78
23.66666794,669.75,644.42,618.86,680.74
24,673.71,649.08,632.07,687.53
24.33333397,678.05,653.24,644.47,692.82
24.66666794,681.77,656.6,655.76,698.59
25,685.62,661.28,666.97,703.8
25.33333397,689.83,665.89,676.52,709.47
25.66666794,693.75,668.53,685.28,714.23
26,696.44,672.02,694.14,718.42
26.33333397,699.91,675.77,701.31,722.92
26.66666794,703.73,679.23,709.1,727.41
27,705.9,682.34,715.92,731.14
27.33333397,709.71,685.64,722.73,735.19
27.66666794,712.32,688.34,728.9,738.72
28,715.64,691.52,733.99,741.61
28.33333397,718.11,694.89,740.04,745.52
28.66666794,720.89,696.79,745.09,748.86
29,724.19,700.06,749.63,750.18
29.33333397,726.25,704.06,754.76,755.34
29.66666794,728.34,704.38,758.45,757.63
30,731.32,707.86,762.47,760.53
30.33333397,734.8,710.57,766.87,763.86
30.66666794,736.84,712.17,770.54,765.9
31,738.2,714.39,774.96,767.9
31.33333397,741.57,717.72,778.3,771.13
31.66666794,743.51,719.73,781.12,773.51
32,746.06,721.41,784.73,775.9
32.33333588,747.48,723.5,787.49,777.77
32.66666794,750.42,726.68,790.41,780.47
33,753.06,728.2,793.71,782.37
33.33333588,754.77,730.37,796.73,784.97
33.66666794,756.73,733.43,799.06,786.56
34,758.11,734.36,800.46,788.64
34.33333588,761.82,736.77,804.6,791.54
34.66666794,763.23,739.03,807.45,793.3
35,765.66,740.86,809.68,794.62
35.33333588,767.66,741.46,812.19,796.65
35.66666794,769.26,743.97,813.68,799.41
36,770.81,747.03,816.73,801.47
36.33333588,773.92,748.32,819.42,801.94
36.66666794,775.44,750.04,821.68,803.92
37,777.56,751.68,823.32,806.35
37.33333588,779.62,754.54,825.74,807.5
37.66666794,781.38,756.33,827.75,809.34
38,783.23,757.71,829.5,811.97
38.33333588,783.25,759.9,832.14,814.01
38.66666794,787.15,761.33,834.26,814.76
39,789.69,763.29,835.8,817.05
39.33333588,790.67,765.24,838.52,818.45
39.66666794,792.37,767.52,839.77,821.16
40,793.54,768.85,842.16,821.52
40.33333588,795.98,769.75,843.78,822.48
40.66666794,797.19,771.7,845.8,825.69
41,799.03,774.06,848.18,827.58
41.33333588,800.81,775.55,849.71,828.51
41.66666794,802.77,777.15,851.17,829.57
42,803.08,779.67,853.43,831.74
42.33333588,805.24,781.09,855.06,832.64
42.66666794,807.09,781.54,856.71,834.85
43,808.93,784.27,859.17,835.52
43.33333588,810.57,785.9,861.22,838.03
43.66666794,811.94,787.42,862.38,840.02
44,813.79,787.65,863.35,840.42
44.33333588,815.5,790.18,866.01,842.34
44.66666794,817.41,791.68,867.71,845
45,819.06,793.51,869.3,843.05
45.33333588,820.99,795.04,871.95,846.44
45.66666794,821.83,795.87,873.29,848.52
46,823.69,797.6,874.01,848.9
46.33333588,826,798.6,876.63,850.9
46.66666794,827.97,800.66,878.42,853.14
47,829.09,802.25,879.98,853.78
47.33333588,830.8,802.62,881.96,854.57
47.66666794,832.29,804.67,883.41,855.19
48,834.3,807.41,885.73,857.71
48.33333588,835.96,808.19,886.86,859.73
48.66666794,838.17,809.01,888.88,860.39
49,839.4,810.23,889.49,862.08
49.33333588,841.02,811.59,891.76,863.01
49.66666794,843.17,813.94,893.89,862.66
50,844.68,815,895.71,865.83
50.33333588,846.2,816.37,896.97,866.66
50.66666794,847.34,816.76,898.02,868.98
51,849.78,818.24,899.93,870.85
51.33333588,851.46,820.36,901.91,871.21
51.66666794,852.83,821.83,903.09,871.98
52,854.79,822.72,905.62,872.84
52.33333588,856.23,823.9,904.23,876.23
52.66666794,857.56,826.1,908.15,876.91
53,859.67,827.4,909.82,877.31
53.33333588,860.75,828.31,910.92,880.37
53.66666794,862.45,829.81,912.36,880.45
54,864.08,831.8,914.83,881.44
54.33333588,866.39,832.37,916.34,884.48
54.66666794,867.97,834.62,917.46,883.72
55,869.19,836.45,918.76,885.65
55.33333588,870.04,836.8,919.72,887.44
55.66666794,872.56,838.27,921.38,885.82
56,874.65,839.87,923.96,890.01
56.33333588,875.82,841.24,926.03,890.84
56.66666794,877.67,842.88,927.36,892.26
57,878.85,843.42,927.88,893.49
57.33333588,881.2,846.55,929.75,894.19
57.66666794,882.36,846.52,931.03,897.3
58,884.09,848.94,932.92,897.2
58.33333588,884.98,848.86,933.65,899.75
58.66666794,886.83,851.38,936.01,900.9
59,888.27,852.33,937.02,902.32
59.33333588,890.78,853.83,938.89,903.92
59.66666794,892.3,855.21,940.82,905.19
60,893.8,856.78,940.41,906.26
60.33333588,895.25,858.23,942.87,907.57
60.66666794,896.69,859.63,944.24,909.09
61,898.68,861.43,946.13,910.58
61.33333588,899.43,862.64,946.31,912
61.66666794,902.08,863.93,948.64,912.4
62,903.66,864.93,950.43,914.85
62.33333588,904.87,866.92,951.08,916.11
62.66666794,905.59,867.48,952.08,918.07
63,908.39,869.44,954.33,918.46
63.33333588,910.2,870.86,956.06,920.35
63.66666794,910.99,873.26,958.6,921.93
64,912.73,873.28,959.25,922.68
64.33333588,914.82,873.93,959.5,924.15
64.66667175,916.38,877.06,961.65,926.77
65,917.2,878.18,962.99,928.08
65.33333588,919.08,878.67,964.87,929.45
65.66667175,920.43,880.62,966.62,930.19
66,922.03,882.71,967.37,931.29
66.33333588,924.14,883.41,969.63,932.04
66.66667175,925.73,884.76,970.18,934.28
67,926.84,886.88,971.32,936.03
67.33333588,928.23,887.14,972.76,936.81
67.66667175,930.52,888.8,974.59,938.25
68,932.05,890.38,976.25,940.44
68.33333588,933.35,892.92,977.83,941.73
68.66667175,934.52,893.37,978.21,942.15
69,936.07,894.67,979.41,943.39
69.33333588,938.18,896.41,980.76,945.36
69.66667175,939.79,897.34,983.5,946.69
